Bac.Via,plate,well,sample,treatment,bacteria,type,line,time,location,viability,date,Analyte Sample,HEKWell,Abs,log_pg.ml,pg.ml,LOD_pg.ml,via,concentration_avg,Bac.Via_label
Sau.IRR,1,49,SauC 48 Ap IRR,S. aureus Irradiated,Sau,sample,HNO919,48,Apical,IRR,1/24/2023,Unknown49,F9,2.317,2.3613067019707867,229.7770777959464,229.7770777959464,IRR,229.7770777959464,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,1,74,SauB 48 Ap IRR,S. aureus Irradiated,Sau,sample,HNO204,48,Apical,IRR,2/7/2023,Unknown74,G12,2.237,2.290161251753936,195.05687034540392,195.05687034540392,IRR,195.05687034540392,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,2,24,SauC 48 Ap IRR,S. aureus Irradiated,Sau,sample,HNO919,48,Apical,IRR,2/14/2023,Unknown99,E6,2.038,2.113186944339519,129.7737768806094,129.7737768806094,IRR,129.7737768806094,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,2,49,SauB 48 Ap IRR,S. aureus Irradiated,Sau,sample,HNO204,48,Apical,IRR,2/28/2023,Unknown124,F9,1.993,2.0731676285925404,118.34982731741705,118.34982731741705,IRR,118.34982731741705,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,2,74,SauC 48 Ap IRR,S. aureus Irradiated,Sau,sample,HNO919,48,Apical,IRR,3/6/2023,Unknown149,G12,2.796,2.7872900851441815,612.7595451843293,500,IRR,612.7595451843293,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,2,75,SauC 48 Baso IRR,S. aureus Irradiated,Sau,sample,HNO919,48,Basal,IRR,3/6/2023,Unknown150,H12,0.184,0.46439113556399914,2.9133397574411655,2.9133397574411655,IRR,2.9133397574411655,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.live,1,72,SauB 48 Baso,S. aureus,Sau,sample,HNO204,48,Basal,live,2/7/2023,Unknown72,E12,3.199,3.145685290611568,1398.5734857926282,500,live,1398.5734857926282,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,1,47,SauC 48 Baso,S. aureus,Sau,sample,HNO919,48,Basal,live,1/24/2023,Unknown47,D9,3.329,3.261296647213951,1825.1419498039186,500,live,1825.1419498039186,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,2,22,SauC 48 Baso,S. aureus,Sau,sample,HNO919,48,Basal,live,2/14/2023,Unknown97,C6,2.537,2.5569566900671266,360.54268617941113,360.54268617941113,live,360.54268617941113,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,2,47,SauB 48 Baso,S. aureus,Sau,sample,HNO204,48,Basal,live,2/28/2023,Unknown122,D9,2.447,2.4769180585731694,299.8596699057702,299.8596699057702,live,299.8596699057702,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
