Date,Line,Species,bacteria_label,Temp,Well_Endpoint,FC
08_09_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.3565158040103766
08_09_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.7787115032483576
08_09_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.2200314757087865
08_09_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.4300518030237948
08_09_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,2.641176477941176
08_09_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,2.563281562965075
08_10_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,2.0083194089717384
08_10_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,2.389434019702385
08_10_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.1396957458708692
08_10_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,2.7198707634160244
08_10_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.234258616809586
08_10_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.8271437116233973
08_10_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.0989221064199814
08_10_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,0.28677976198348415
08_10_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,2.0180878469954835
08_10_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,2.5420207387062286
08_16_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.421203448050509
08_16_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,2.1775535364172245
08_16_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.940438949532074
08_16_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.7889578015726986
08_16_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.7968384555220234
08_17_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.173249119885443
08_17_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,2.400713398331074
08_17_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.2136959709926758
08_17_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,3.0947136042204404
08_17_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.3476959800210657
08_17_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,4.809631841359773
08_17_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.4349726307922002
08_17_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,2.2683449316103643
08_17_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.256530847735271
08_17_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,0.4345634958521393
08_17_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.842167306739309
08_17_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.7299168744228994
